Gamers:,,,,farley3k,troubleshot,Clusks,Tanglebones,Aaron D.,BlackSabre,cheeba,walterqchocobo,doubtingthomas396,Zoso1701,Maq,Mr GT Chris,TheGameguru,Infyrnos,Farscry,WizardM0de,b12n11w00t,Mantid,plavonica,Garrcia,cube,MilkmanDanimal,Jonman,muraii,pyxistyx,PandaEskimo,CptDomano,JohnKillo,conejote,Taylor Wayne,dejanzie,Higgledy,krev82,Stengah,Dryden,Demyx,Mex,scrub,Vrikk,Granath,Cobble,PurEvil,DSGamer,ChrisLTD,Nevin73,zeroKFE,Glycerine,carrotpanic,TempestBlayze,UpToIsomorphism,tboon,ClockworkHouse,Squee9,Tscott,Running Man,Hyetal,BadKen,iaintgotnopants,IHateDRM,AcidCat,SocialChameleon,Malor,Aristophan,Carlbear95,ThingumBob,Evo,Roo,kyrieee,Jake2034,billt721,TheHarpoMarxist,Bnice,MrDeVil909,Shadout,Jayhawker,chooka1,Latrine,EverythingsTentative,sometimesdee,mateofalcone,kuddles,philucifer,bombsfall,mrtomaytohead,cheeze_pavilion,Kosars,Duoae,Eleima,nel e nel,Vector,kergguz,Fastmav347,Luggage,Budo,Slumberland,schutter31,ccesarano,Deadmonkeys,tuffalobuffalo,Dyni,Alien Love Gardener,4dSwissCheese,Mermaidpirate,danopian,Fedaykin98,badchicken,Minarchist,Ego Man,MeatMan,shoptroll,garion333,cyrax,Le0hart85,Spikeout,OzymandiasAV,RnRClown,clever id,Gunner,Blind_Evil,RooksGambit,groovebeat,TrashiDawa,demonbox,jdzappa,Cathadan,Gravey
Title,Weighted Score,Total Votes,#1 Votes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Banished,48,9,2,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,5,4,,,,,,,,,,,,,,,,,,,,,,7,,,,,1,,,,,,,,,,,,,,,,10,,,,,,,,6,,,,,,,,,,,,,,,,,,1,,,,,,,,7,,,,,,,,,
"Banner Saga, The",48,8,0,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,3,,,,,,,,2,,,,5,,,,,,,,,,5,,,,,,,,,,,,,,,,,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
Batman: Arkham Asylum,8,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Batman: Arkham City,8,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,
Batman: Arkham Origins,5,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Battlefield 4,9,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bayonetta,11,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,
Bayonetta 2,22,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Bernband,4,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Betrayer,8,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
