Rank,Title,Score,Total Votes,#1 Votes,Average Score
122,SteamWorld Heist,11,2,0,5.5
123,Captain Toad: Treasure Tracker,11,3,0,3.7
124,Project Gorgon,10,1,1,10
125,Elliot Quest,10,1,1,10
126,DiRT Rally,10,1,1,10
127,Farming Simulator 2015,10,1,1,10
128,TIS-100,10,2,0,5
129,P.T.,10,1,1,10
130,Dota 2,10,1,1,10
131,80 Days,10,2,0,5
132,Offworld Trading Company,10,2,0,5
133,CounterSpy,10,2,0,5
134,Wolf Among Us,10,2,0,5
135,Broforce,10,1,1,10
136,Valiant Hearts,10,2,0,5
137,Android: Netrunner,10,1,1,10
138,Total War: Attila,10,1,1,10
139,Final Fantasy VII,10,2,0,5
140,Resident Evil: Revelations 2,10,3,0,3.3
141,Lego Dimensions,10,1,1,10
142,Hotline Miami Vita,10,1,1,10
143,Dungeon Boss,10,1,1,10
144,Demon's Souls,10,1,1,10
145,Metroid Prime,10,1,1,10
146,Geometry Wars 3: Dimensions Evolved,10,1,1,10
147,Final Fantasy XII,10,1,1,10
148,Europa Universalis 4: Common Sense,10,1,1,10
149,Skyrim,10,1,1,10
150,Assassin's Creed,9,1,0,9
151,Anno 2205,9,2,0,4.5
152,Grey Goo,9,2,0,4.5
153,Technobabylon,9,1,0,9
154,Lara Croft Go,9,2,0,4.5
155,Mass Effect 2,9,1,0,9
156,Gray Matter,9,1,0,9
157,Drive Club,9,1,0,9
158,Guilty Gear Xrd -SIGN-,9,1,0,9
159,Gravity Ghost,9,2,0,4.5
160,Shadows of Mordor,9,1,0,9
161,Persona 4,9,1,0,9
162,Legend of Zelda: Majora's Mask 3D,9,1,0,9
163,Metal Gear Solid,9,1,0,9
164,Hyrule Warriors,9,2,0,4.5
165,Mass Effect 3,9,2,0,4.5
166,Donkey Kong Country: Tropical Freeze,9,1,0,9
167,XCOM: Enemy Unknown,9,1,0,9
168,Danganronpa: Trigger Happy Havoc,9,1,0,9
169,Baldur's Gate: Enhanced Edition,9,1,0,9
170,Total War: Rome II,9,1,0,9
171,Art Academy,8,2,0,4
172,TowerFall: Dark World,8,2,0,4
173,Lyne,8,1,0,8
174,The Order: 1886,8,4,0,2
175,Trivia Crack,8,1,0,8
176,Thomas Was Alone,8,1,0,8
177,Grand Theft Auto Online,8,1,0,8
178,Valhalla Hills,8,1,0,8
179,Planetbase,8,3,0,2.7
180,Tales of Graces F,8,1,0,8
181,King’s Quest Chapter 1,8,1,0,8
182,Boxboy,8,2,0,4
183,Legend of Grimrock 2,8,2,0,4
184,Tansistor,8,1,0,8
185,King's Quest Chapter 1,8,1,0,8
186,Everybody's Gone to the Rapture,8,3,0,2.7
187,Home,8,1,0,8
188,A Story About My Uncle,8,1,0,8
189,Freedom Wars,8,2,0,4
190,Duck Game,8,1,0,8
191,Big Pharma,8,2,0,4
192,FEZ,8,1,0,8
193,ARK,8,1,0,8
194,Arcana Heart 3: LOVE MAX!!!!!!,8,1,0,8
195,Party Hard,8,1,0,8
196,Rainbow Moon,8,1,0,8
197,Guild of Dungeoneering,8,3,0,2.7
198,Prison Architect,8,2,0,4
199,The Fall,8,2,0,4
200,Sunset Overdrive,8,1,0,8
201,Titanfall,8,2,0,4
202,Gems of War,8,1,0,8
203,Order of Battle: Pacific,8,1,0,8
204,Rule the Waves,8,1,0,8
205,Xenoblade Chronicles 3D,8,1,0,8
206,Gwent,8,1,0,8
207,Banjo Kazooie,8,1,0,8
208,Psychonauts,8,2,0,4
209,Runbow,8,1,0,8
210,The Book of Unwritten Tales,8,1,0,8
211,The Sims: Medieval,8,1,0,8
212,Toren,8,1,0,8
213,Fast Racing NEO,8,1,0,8
214,Crossy Road,8,1,0,8
215,Yoshi’s Wooly World,8,1,0,8
216,Persona 4: Dancing All Night,7,1,0,7
217,Energy Balance,7,1,0,7
218,Hatoful Boyfriend,7,1,0,7
219,Shin Megami Tensei 4,7,1,0,7
220,Pneuma: Breath of Life,7,1,0,7
221,Armello,7,1,0,7
222,Godzilla,7,2,0,3.5
223,Reassembly,7,2,0,3.5
224,Persona Q,7,1,0,7
225,NBA2K15,7,1,0,7
226,Star Wars: Uprising,7,1,0,7
227,Volume,7,1,0,7
228,FRACT OSC,7,1,0,7
229,OlliOlli,7,1,0,7
230,Memoria,7,1,0,7
231,Guacamelee,7,1,0,7
232,The Evil Within,7,1,0,7
233,Thea The Awakening,7,1,0,7
234,Monter Hunter 4 Ultimate,7,1,0,7
235,Primordia,7,1,0,7
236,Might and Magic VII: For Blood and Honor,7,1,0,7
237,Mario Kart 8,7,1,0,7
238,Guilty Gear Xrd,7,1,0,7
239,Valkyria Chronicles,7,2,0,3.5
240,Watch_Dogs,7,1,0,7
241,Half Life 2,7,1,0,7
242,Chroma Squad,7,1,0,7
243,Persona 4 Golden,7,1,0,7
244,The Bureau: XCOM Declassified,7,1,0,7
245,The Legend of Zelda: Tri Force Heroes,7,2,0,3.5
246,Besiege,7,1,0,7
247,Transformers: Devastation,7,1,0,7
248,Gunman Clive,7,1,0,7
249,Monument Valley,7,1,0,7
250,Rogue Legacy,7,1,0,7
251,Crusader Kings 2,7,1,0,7
252,To The Moon,7,1,0,7
253,We Know The Devil,7,1,0,7
254,Rare Replay,6,1,0,6
255,Sleeping Dogs,6,2,0,3
256,Keep Talking and No one explodes,6,1,0,6
257,Hand of Fate,6,2,0,3
258,Star Wars Knights of the Old Republic,6,1,0,6
259,Skiing Yeti Mountain,6,1,0,6
260,Twenty,6,1,0,6
261,Darklands,6,1,0,6
262,Indiana Jones and the Fate of Atlantis,6,1,0,6
263,Yakuza 5,6,1,0,6
264,PixelJunk Shooter,6,1,0,6
265,Magic Duels,6,2,0,3
266,The Witcher 2,6,2,0,3
267,Project: Gorgon,6,1,0,6
268,Magicka 2,6,1,0,6
269,Assassin's Creed IV: Black Flag,6,1,0,6
270,Trine 2: Complete Story,6,1,0,6
271,LBX,6,1,0,6
272,Warhammer Invasion: Deathwatch,6,1,0,6
273,Project Cars,6,1,0,6
274,Overlord II,6,1,0,6
275,Final Fantasy Record Keeper,6,1,0,6
276,Metroid Prime 3,6,1,0,6
277,Football Managers 2015,6,1,0,6
278,Galak-Z,6,1,0,6
279,Civilization: Beyond Earth: Rising Tide,6,1,0,6
280,Hexcells Infinite/SquaresCells,6,1,0,6
281,Steamworld Dig,6,1,0,6
282,Risk of Rain,6,1,0,6
283,Deus Ex: Human Revolution,6,1,0,6
284,Soul Sacrifice Delta,5,1,0,5
285,Lumino City,5,2,0,2.5
286,Spec Ops: The Line,5,1,0,5
287,GRID Autosport,5,1,0,5
288,Mini Metro,5,1,0,5
289,Prelogate,5,1,0,5
290,Borderlands: The Pre-Sequel,5,2,0,2.5
291,Lords of the Fallen,5,1,0,5
292,Super Time Force Ultra,5,2,0,2.5
293,Galactic Keep,5,1,0,5
294,Uncharted,5,1,0,5
295,Submerged,5,1,0,5
296,Seduce Me the Otome,5,1,0,5
297,Expeditions: Conquistador,5,1,0,5
298,Disgaea 5,5,1,0,5
299,The Elder Scrolls Online,5,1,0,5
300,Jack box collection 1 and 2,5,1,0,5
301,League of Legends,5,1,0,5
302,Wolfenstein: The Old Blood,5,1,0,5
303,Bayonetta 2,5,1,0,5
304,Game of Thrones The Role Playing Game,5,1,0,5
305,Dominion,5,1,0,5
306,Hitman Sniper,5,1,0,5
307,Vietnam '65,5,1,0,5
308,Satellite Reign,5,1,0,5
309,Ninja Pizza Girl,5,1,0,5
310,Style Savvy Trendsetters,5,1,0,5
311,Fatal Frame: Maiden of Black Water,5,1,0,5
312,Super Mario 3D Land,5,1,0,5
313,Rome 2: Total War,5,1,0,5
314,Nidhogg,5,1,0,5
315,Amnesia: Memories,5,1,0,5
316,Jackbox Party Pack,5,1,0,5
317,Rule of Rose,4,1,0,4
318,Affordable Space Adventures,4,1,0,4
319,NEON STRUCT,4,1,0,4
320,Freedom Force,4,1,0,4
321,The Marvellous Miss Take,4,1,0,4
322,Tales of Borderlands,4,1,0,4
323,Omega Quintet,4,1,0,4
324,Jazzpunk,4,1,0,4
325,Super Meat Boy,4,1,0,4
326,Outlast,4,1,0,4
327,Bionic Commando Rearmed,4,1,0,4
328,Warhammer: Vermintide,4,1,0,4
329,Assassin's Creed: Black Flag,4,1,0,4
330,Blackbay Asylum,4,1,0,4
331,Etrian Odyssey III,4,1,0,4
332,Citizens of Earth,4,1,0,4
333,Gunpoint,4,1,0,4
334,The Age of Decadence,4,1,0,4
335,XCX,4,1,0,4
336,Uncharted 3,4,1,0,4
337,Journey,4,2,0,2
338,Card Crawl,4,1,0,4
339,Resogun: Defenders,4,1,0,4
340,Pokemon Shuffle,4,1,0,4
341,God of War III Remastered,4,1,0,4
342,Guitar Hero Live,4,2,0,2
343,Xenoblade Chronicles,4,1,0,4
344,Game of Thrones (Telltale),4,1,0,4
345,Hegemony III: Clash of the Ancients,4,1,0,4
346,Star Wars Battlefront,4,1,0,4
347,Heavy Rain,4,1,0,4
348,SteamWorld Dig,4,1,0,4
349,Assassin's Creed: Freedom Cry,4,1,0,4
350,Puzzle And Dragons: Super Mario Edition,4,1,0,4
351,Shovel Knight: Plague of Shadows,4,1,0,4
352,Battleblock Theater,3,1,0,3
353,Pay Day 2,3,1,0,3
354,Tell Tale's Game of Thrones,3,1,0,3
355,Defender's Quest: Valley of the Forgotten,3,1,0,3
356,One Piece: Pirate Warriors 3,3,1,0,3
357,Serpent In The Staglands,3,1,0,3
358,Batman: Arkham City,3,1,0,3
359,Disgaea D2: A Brighter Darkness,3,1,0,3
360,This War of Mine,3,1,0,3
361,Eye of the Beholder,3,1,0,3
362,Lone Survivor: Director's Cut,3,1,0,3
363,Squad,3,1,0,3
364,The Walking Dead: 400 Days,3,1,0,3
